element,species,degeneracy,energy_ev
Al,3,10,26.53
Al,3,6,26.93
Al,3,8,26.93
Al,3,10,26.94
Al,3,8,26.94
Al,3,12,26.94
Al,3,10,26.94
Al,3,4,72.88
Al,3,2,73.33
Al,3,4,77.52
Al,3,8,78.41
Al,3,6,78.51
Al,3,4,78.61
Al,3,2,78.72
Al,3,6,79.03
Al,3,4,79.14
Al,3,4,79.37
Al,3,6,79.51
Al,3,2,79.6
Al,3,4,79.7
Al,3,2,86
Al,3,4,86.13
Al,3,6,86.8
Al,3,8,87.35
Al,3,6,87.45
Al,3,6,88.77
Al,3,10,88.81
Al,3,2,89.31
Al,3,4,89.77
Al,3,6,89.89
Al,3,4,89.95
Al,3,2,90.2
Am,1,8,0
Am,1,8,5.97
Am,2,9,0
Am,2,9,11.7
Am,3,8,0
Am,3,8,21.7
Ar,1,1,0
Ar,1,5,11.55
Ar,1,3,11.62
Ar,1,1,11.72
Ar,1,3,11.83
Ar,1,3,12.91
Ar,1,1,13.27
Ar,1,7,13.08
Ar,1,5,13.09
Ar,1,3,13.15
Ar,1,5,13.17
Ar,1,3,13.28
Ar,1,5,13.3
Ar,1,3,13.33
Ar,1,1,13.48
Ar,1,1,13.85
Ar,1,3,13.86
Ar,1,5,13.9
Ar,1,3,14.15
Ar,1,9,13.98
Ar,1,7,14.01
Ar,1,5,14.06
Ar,1,7,14.1
Ar,1,5,14.07
Ar,1,3,14.09
Ar,1,5,14.21
Ar,1,7,14.24
Ar,1,5,14.23
Ar,1,3,14.3
Ar,1,1,14.24
Ar,1,3,14.26
Ar,1,3,14.46
Ar,1,1,14.58
Ar,1,7,14.5
Ar,1,5,14.51
Ar,1,3,14.52
Ar,1,5,14.53
Ar,1,3,14.68
Ar,1,5,14.69
Ar,1,3,14.69
Ar,1,1,14.74
Ar,1,1,14.69
Ar,1,3,14.71
Ar,1,5,14.74
Ar,1,3,14.86
Ar,1,9,14.76
Ar,1,7,14.78
Ar,1,5,14.81
Ar,1,7,14.82
Ar,1,5,14.84
Ar,1,3,14.85
Ar,1,3,14.9
Ar,1,5,14.9
Ar,1,11,14.9
Ar,1,9,14.9
Ar,1,7,14.91
Ar,1,5,14.91
Ar,1,7,14.91
Ar,1,9,14.91
Ar,1,5,14.95
Ar,1,3,15
Ar,1,5,14.95
Ar,1,7,14.97
Ar,1,3,15.01
Ar,1,1,15.06
Ar,1,1,15.01
Ar,1,3,15.02
Ar,1,7,15.02
Ar,1,5,15.03
Ar,1,3,15.03
Ar,1,5,15.04
Ar,1,7,15.08
Ar,1,9,15.08
Ar,1,7,15.08
Ar,1,5,15.08
Ar,1,1,15.1
Ar,1,3,15.12
Ar,1,9,15.13
Ar,1,7,15.15
Ar,1,5,15.14
Ar,1,3,15.19
Ar,1,5,15.16
Ar,1,7,15.17
Ar,1,5,15.18
Ar,1,3,15.19
Ar,1,3,15.2
Ar,1,1,15.22
Ar,1,3,15.2
Ar,1,5,15.2
Ar,1,3,15.21
Ar,1,5,15.21
Ar,1,11,15.21
Ar,1,9,15.21
Ar,1,7,15.21
Ar,1,5,15.21
Ar,1,7,15.21
Ar,1,5,15.21
Ar,1,11,15.21
Ar,1,13,15.21
Ar,1,7,15.22
Ar,1,9,15.22
Ar,1,9,15.22
Ar,1,7,15.22
Ar,1,9,15.22
Ar,1,11,15.22
Ar,1,3,15.27
Ar,1,1,15.3
Ar,1,7,15.28
Ar,1,5,15.28
Ar,1,3,15.28
Ar,1,5,15.28
Ar,1,5,15.3
Ar,1,3,15.35
Ar,1,3,15.31
Ar,1,1,15.31
Ar,1,5,15.31
Ar,1,7,15.32
Ar,1,9,15.33
Ar,1,7,15.35
Ar,1,5,15.35
Ar,1,3,15.37
Ar,1,5,15.35
Ar,1,7,15.35
Ar,1,1,15.36
Ar,1,3,15.36
Ar,1,5,15.36
Ar,1,3,15.37
Ar,1,3,15.38
Ar,1,5,15.38
Ar,1,11,15.38
Ar,1,9,15.38
Ar,1,7,15.38
Ar,1,5,15.38
Ar,1,7,15.38
Ar,1,5,15.38
Ar,1,13,15.38
Ar,1,11,15.38
Ar,1,7,15.38
Ar,1,9,15.38
Ar,1,9,15.38
Ar,1,7,15.38
Ar,1,9,15.38
Ar,1,11,15.38
Ar,1,7,15.39
Ar,1,9,15.39
Ar,1,7,15.39
Ar,1,5,15.39
Ar,1,11,15.39
Ar,1,9,15.39
Ar,1,9,15.39
Ar,1,7,15.39
Ar,1,3,15.41
Ar,1,1,15.43
Ar,1,7,15.42
Ar,1,5,15.42
Ar,1,3,15.42
Ar,1,5,15.42
Ar,1,1,15.44
Ar,1,3,15.44
Ar,1,5,15.45
Ar,1,3,15.47
Ar,1,9,15.45
Ar,1,7,15.45
Ar,1,3,15.45
Ar,1,5,15.46
Ar,1,3,15.45
Ar,1,1,15.47
Ar,1,5,15.46
Ar,1,7,15.46
Ar,1,5,15.47
Ar,1,3,15.47
Ar,1,3,15.48
Ar,1,5,15.48
Ar,1,11,15.48
Ar,1,9,15.48
Ar,1,7,15.48
Ar,1,5,15.48
Ar,1,13,15.48
